x	y	z	Destrieux	Yeo
-48.624	-47.475	5.828	l.S_temporal_sup	temporalparietal
48.138	-43.634	8.103	r.S_temporal_sup	temporalparietal
-56.559	-11.103	15.503	l.G_and_S_subcentral	somatomotorB
-47.781	-21.011	5.17	l.G_temp_sup-G_T_transv	somatomotorB
-57.002	-41.383	15.188	l.G_temp_sup-Plan_tempo	somatomotorB
-39.745	-34.67	18.317	l.Lat_Fis-post	somatomotorB
-50.606	-25.294	2.119	l.S_temporal_transverse	somatomotorB
56.534	-10.438	16.768	r.G_and_S_subcentral	somatomotorB
48.106	-19.114	5.111	r.G_temp_sup-G_T_transv	somatomotorB
60.502	-12.851	-0.826	r.G_temp_sup-Lateral	somatomotorB
58.087	-34.708	15.135	r.G_temp_sup-Plan_tempo	somatomotorB
38.608	-28.952	19.349	r.Lat_Fis-post	somatomotorB
51.842	-22.388	4.422	r.S_temporal_transverse	somatomotorB
-7.879	-36.062	68.083	l.G_and_S_paracentral	somatomotorA
-36.398	-21.981	46.486	l.S_central	somatomotorA
9.828	-9.724	40.879	r.G_and_S_cingul-Mid-Post	somatomotorA
6.915	-34.854	68.429	r.G_and_S_paracentral	somatomotorA
45.826	-23.617	54.373	r.G_postcentral	somatomotorA
40.651	-8.156	53.418	r.G_precentral	somatomotorA
35.89	-19.96	46.41	r.S_central	somatomotorA
-45.544	-25.929	54.949	l.G_postcentral	somatomatorA
-41.773	-9.72	51.554	l.G_precentral	somatomatorA
-27.36	30.677	-17.425	l.G_orbital	LimbicB
-5.893	36.009	-20.016	l.G_rectus	LimbicB
-12.768	24.56	-17.598	l.S_orbital_med-olfact	LimbicB
-24.206	34.927	-11.657	l.S_orbital-H_Shaped	LimbicB
26.58	30.04	-17.02	r.G_orbital	LimbicB
6.54	33.631	-20.422	r.G_rectus	LimbicB
6.973	15.34	-11.926	r.G_subcallosal	LimbicB
13.776	22.903	-16.664	r.S_orbital_med-olfact	LimbicB
-23.67	-19.45	-26.838	l.G_oc-temp_med-Parahip	LimbicA
-37.993	2.343	-25.039	l.G_temp_sup-Plan_polar	LimbicA
-51.331	-37.894	-24.64	l.G_temporal_inf	LimbicA
-58.882	-35.896	-12.614	l.G_temporal_middle	LimbicA
-34.89	2.935	-37.098	l.Pole_temporal	LimbicA
-40.799	-21.096	-23.879	l.S_collat_transv_ant	LimbicA
-52.545	-38.438	-16.527	l.S_temporal_inf	LimbicA
40.349	3.752	-24.303	r.G_temp_sup-Plan_polar	LimbicA
52.585	-34.688	-23.578	r.G_temporal_inf	LimbicA
38.295	5.021	-36.584	r.Pole_temporal	LimbicA
-18.662	-57.73	58.569	l.G_parietal_sup	dorsalattentionB
-36.815	-36.102	41.146	l.S_postcentral	dorsalattentionB
-26.797	-9.499	50.401	l.S_precentral-sup-part	dorsalattentionB
18.166	-53.808	60.08	r.G_parietal_sup	dorsalattentionB
36.512	-34.916	42.321	r.S_postcentral	dorsalattentionB
26.621	-8.68	51.56	r.S_precentral-sup-part	dorsalattentionB
-41.84	-49.887	-14.185	l.S_oc-temp_lat	dorsalattentionA
-41.7	-68.154	0.278	l.S_occipital_ant	dorsalattentionA
-35.646	-53.889	-17.966	l.G_oc-temp_lat-fusifor	dorsalattentionA
42.104	-76.432	-11.482	r.G_and_S_occipital_inf	dorsalattentionA
43.127	-50.709	-13.523	r.S_oc-temp_lat	dorsalattentionA
42.996	-65.226	4.085	r.S_occipital_ant	dorsalattentionA
53.027	-39.85	-15.285	r.S_temporal_inf	dorsalattentionA
25.122	-16.652	-27.74	r.G_oc-temp_med-Parahip	defaultC
-9.817	-46.978	5.625	l.G_cingul-Post-ventral	defaultC
10.218	-49.055	7.38	r.G_cingul-Post-ventral	defaultC
41.753	-20.346	-24.345	r.S_collat_transv_ant	defaultC
-27.738	22.278	-9.516	l.S_circular_insula_ant	defaultB
47.925	32.35	-6.988	r.G_front_inf-Orbital	defaultB
51.05	28.051	6.786	r.G_front_inf-Triangul	defaultB
45.448	21.327	9.036	r.Lat_Fis-ant-Vertical	defaultB
-50.085	11.87	7.46	l.G_front_inf-Opercular	defaultB
-44.306	30.741	-10.499	l.G_front_inf-Orbital	defaultB
-48.826	29.933	3.848	l.G_front_inf-Triangul	defaultB
-59.331	-15.346	-0.934	l.G_temp_sup-Lateral	defaultB
-38.82	32.499	-2.872	l.Lat_Fis-ant-Horizont	defaultB
-43.715	21.733	8.441	l.Lat_Fis-ant-Vertical	defaultB
-49.911	-52.26	30.213	l.S_interm_prim-Jensen	defaultB
-39.46	40.593	-2.29	l.S_orbital_lateral	defaultB
29.668	23.312	-7.027	r.S_circular_insula_ant	defaultB
24.293	35.417	-11.756	r.S_orbital-H_Shaped	defaultB
10.497	-50.187	36.502	r.S_subparietal	defaultA
-10.877	39.073	8.334	l.G_and_S_cingul-Ant	defaultA
-5.101	-36.409	30.514	l.G_cingul-Post-dorsal	defaultA
-5.987	15.553	-8.696	l.G_subcallosal	defaultA
-22.711	17.928	43.159	l.S_front_sup	defaultA
-8.559	38.452	-11.471	l.S_suborbital	defaultA
-10.867	-50.05	34.979	l.S_subparietal	defaultA
11.187	38.601	8.006	r.G_and_S_cingul-Ant	defaultA
22.69	18.148	44.827	r.S_front_sup	defaultA
47.946	-44.615	35.704	r.S_interm_prim-Jensen	defaultA
8.781	42.174	-14.271	r.S_suborbital	defaultA
-42.927	-64.441	38.345	l.G_pariet_inf-Angular	deafultB
-7.562	-58.501	45.07	l.G_precuneus	controlC
-16.599	-67.45	22.655	l.S_parieto_occipital	controlC
-6.016	-10.328	25.728	l.S_pericallosal	controlC
5.363	-36.443	30.714	r.G_cingul-Post-dorsal	controlC
7.723	-59.505	46.822	r.G_precuneus	controlC
7.329	-8.271	25.71	r.S_pericallosal	controlC
-24.026	53.836	-6.229	l.G_and_S_frontomargin	controlB
-15.187	61.795	0.472	l.G_and_S_transv_frontopol	controlB
22.974	55.986	-8.061	r.G_and_S_frontomargin	controlB
16.678	61.254	1.985	r.G_and_S_transv_frontopol	controlB
46.059	-60.622	39.301	r.G_pariet_inf-Angular	controlB
59.788	-33.921	-12.556	r.G_temporal_middle	controlB
-38.112	22.769	21.882	l.S_front_inf	controlA
-28.528	-58.348	38.653	l.S_intrapariet_and_P_trans	controlA
-43.352	2.957	27.034	l.S_precentral-inf-part	controlA
50.918	9.801	8.232	r.G_front_inf-Opercular	controlA
38.7	23.248	20.601	r.S_front_inf	controlA
30.463	-56.032	42.846	r.S_intrapariet_and_P_trans	controlA
41.491	39.606	-1.682	r.S_orbital_lateral	controlA
42.614	4.307	27.246	r.S_precentral-inf-part	controlA
